,Year,State,Commodity,Data Type,Value
251,2007,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",60000
252,2006,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",63000
253,2005,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",59000
254,2004,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",63000
255,2003,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
256,2002,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
257,2001,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
258,2000,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
259,1999,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
260,1998,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",75000
261,1997,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",75000
262,1996,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",75000
263,1995,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",70000
264,1994,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",80000
265,1993,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",80000
266,1992,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",85000
267,1991,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",102000
268,1990,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",111000
269,1989,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",116000
270,1988,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",115000
271,1987,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
272,2019,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
273,2018,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
274,2017,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
275,2016,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
276,2015,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
277,2014,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
278,2013,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
279,2012,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
280,2011,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
281,2010,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
282,2009,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
283,2008,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
284,2007,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
285,2006,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
286,2005,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
287,2004,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
288,2003,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
289,2002,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
290,2001,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
291,2000,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
292,1999,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
293,1998,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
294,1997,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
295,1996,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
296,1995,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
297,1994,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
298,1993,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
299,1992,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
300,1991,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
301,1990,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
302,1989,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
303,1988,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
304,1987,HAWAII,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
305,2019,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",92000
306,2018,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",96000
307,2017,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
308,2016,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",97000
309,2015,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",89000
310,2014,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
311,2013,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",83000
312,2012,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",92000
313,2011,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",87000
314,2010,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",97000
315,2009,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",103000
316,2008,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",90000
317,2007,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",92000
318,2006,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
319,2005,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
320,2004,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
321,2003,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
322,2002,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
323,2001,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
324,2000,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
325,1999,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
326,1998,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
327,1997,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
328,1996,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",110000
329,1995,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",125000
330,1994,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",127000
331,1993,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",133000
332,1992,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",135000
333,1991,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",140000
334,1990,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",140000
335,1989,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",140000
336,1988,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",127000
337,1987,IDAHO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
338,2019,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
339,2018,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
340,2017,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
341,2016,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
342,2015,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
343,2014,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
344,2013,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
345,2012,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
346,2011,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
347,2010,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
348,2009,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
349,2008,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
350,2007,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
351,2006,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
352,2005,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
353,2004,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
354,2003,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
355,2002,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
356,2001,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
357,2000,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
358,1999,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
359,1998,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
360,1997,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
361,1996,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
362,1995,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
363,1994,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
364,1993,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
365,1992,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
366,1991,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",21000
367,1990,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
368,1989,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
369,1988,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
370,1987,ILLINOIS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
371,2019,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
372,2018,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
373,2017,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
374,2016,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
375,2015,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
376,2014,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
377,2013,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
378,2012,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
379,2011,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
380,2010,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
381,2009,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
382,2008,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
383,2007,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
384,2006,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
385,2005,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
386,2004,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
387,2003,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
388,2002,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
389,2001,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
390,2000,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
391,1999,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
392,1998,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
393,1997,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
394,1996,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
395,1995,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
396,1994,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
397,1993,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
398,1992,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
399,1991,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",21000
400,1990,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
401,1989,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
402,1988,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
403,1987,INDIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
404,2019,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",38000
405,2018,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",38000
406,2017,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
407,2016,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",37000
408,2015,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
409,2014,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
410,2013,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",39000
411,2012,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",37000
412,2011,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
413,2010,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",27000
414,2009,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
415,2008,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
416,2007,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
417,2006,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
418,2005,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
419,2004,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
420,2003,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",32000
421,2002,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",33000
422,2001,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",33000
423,2000,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
424,1999,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
425,1998,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
426,1997,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
427,1996,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
428,1995,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
429,1994,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
430,1993,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",56000
431,1992,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
432,1991,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",70000
433,1990,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",70000
434,1989,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",67000
435,1988,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",49000
436,1987,IOWA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",44000
437,2019,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
438,2018,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
439,2017,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
440,2016,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
441,2015,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
442,2014,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
443,2013,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
444,2012,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
445,2011,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
446,2010,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
447,2009,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
448,2008,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
449,2007,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
450,2006,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
451,2005,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
452,2004,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
453,2003,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
454,2002,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
455,2001,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
456,2000,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
457,1999,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
458,1998,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
459,1997,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
460,1996,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
461,1995,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
462,1994,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
463,1993,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
464,1992,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
465,1991,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
466,1990,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
467,1989,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",37000
468,1988,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",42000
469,1987,KANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",46000
470,2019,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
471,2018,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
472,2017,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
473,2016,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
474,2015,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
475,2014,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
476,2013,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
477,2012,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
478,2011,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
479,2010,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
480,2009,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
481,2008,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
482,2007,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
483,2006,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
484,2005,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
485,2004,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
486,2003,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
487,2002,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
488,2001,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
489,2000,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
490,1999,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
491,1998,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
492,1997,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
493,1996,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
494,1995,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
495,1994,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
496,1993,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
497,1992,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
498,1991,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
499,1990,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
500,1989,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
501,1988,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
502,1987,KENTUCKY,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
503,2019,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",54000
504,2018,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
505,2017,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",43000
506,2016,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
